452 1458 1286 172 11.797 94.8378
#timestep,clever_speedup,fast_speedup,clever_time,fast_time,zero_time,clever_iter,fast_iter,zero_iter,clever_sav,fast_sav,tridiagTime,cuspHintTime,clever_iter_perc_savings,fast_iter_perc_savings,channel%%,current%%,solver%%
0.83,0.623338,0.947496,1.10707,0.72832,0.69008,1,1,1,0,0,0.424288,0.682784,0,0,2.6868,3.04104,94.2722
0.84,0.440302,0.962534,1.55718,0.71232,0.685632,1,1,1,0,0,0.433568,1.12362,0,0,2.05892,2.42988,95.5112
0.85,0.615815,0.986237,1.10963,0.692864,0.683328,1,1,1,0,0,0.42896,0.680672,0,0,2.78824,3.25159,93.9602
0.86,0.620314,0.975388,1.11216,0.707296,0.689888,1,1,1,0,0,0.422176,0.689984,0,0,2.80369,3.23087,93.9654
0.87,0.604379,0.99457,1.14445,0.695456,0.69168,1,1,1,0,0,0.426272,0.718176,0,0,2.60197,2.92424,94.4738
0.88,0.629014,0.994065,1.09917,0.69552,0.691392,1,1,1,0,0,0.418208,0.68096,0,0,2.80954,3.22263,93.9678
0.89,0.617018,0.983082,1.10602,0.694176,0.682432,1,1,1,0,0,0.418528,0.687488,0,0,2.82793,3.18958,93.9825
0.9,0.622207,0.950124,1.10122,0.721152,0.685184,1,1,1,0,0,0.419008,0.682208,0,0,2.80736,3.21427,93.9784
0.91,0.619101,0.99218,1.12147,0.699776,0.694304,1,1,1,0,0,0.426976,0.694496,0,0,2.69914,2.98977,94.3111
0.92,0.623602,0.978248,1.0985,0.700256,0.685024,1,1,1,0,0,0.418016,0.68048,0,0,2.81594,3.24284,93.9412
0.93,0.62257,0.985986,1.09939,0.694176,0.684448,1,1,1,0,0,0.419392,0.68,0,0,2.81301,3.26681,93.9202
0.94,0.618982,0.985778,1.10726,0.695264,0.685376,1,1,1,0,0,0.426816,0.680448,0,0,2.78419,3.22695,93.9889
0.95,0.62348,0.983041,1.11862,0.709472,0.69744,1,1,1,0,0,0.427968,0.690656,0,0,2.67768,2.9638,94.3585
0.96,0.646898,1.02085,1.09965,0.696832,0.71136,1,1,1,0,0,0.42016,0.679488,0,0,2.85355,3.21981,93.9266
0.97,0.633442,1.00124,1.10022,0.696064,0.696928,1,1,1,0,0,0.418848,0.681376,0,0,2.88882,3.23285,93.8783
0.98,0.625725,0.993138,1.10285,0.694848,0.69008,1,1,1,0,0,0.419072,0.683776,0,0,2.803,3.22563,93.9714
0.99,0.787191,1.25702,1.1207,0.701824,0.882208,1,1,2,1,1,0.42016,0.700544,50,50,2.7483,3.16471,94.087
1,0.798725,1.23326,1.09891,0.711712,0.877728,1,1,2,1,1,0.417824,0.681088,50,50,2.84187,3.04741,94.1107
1.01,0.790457,1.25317,1.10794,0.698848,0.875776,1,1,2,1,1,0.420544,0.687392,50,50,2.88016,3.22187,93.898
1.02,0.797557,1.24784,1.10016,0.703168,0.87744,1,1,2,1,1,0.419264,0.680896,50,50,2.79243,3.27058,93.937
1.03,0.793123,1.22864,1.10659,0.714336,0.877664,1,1,2,1,1,0.417216,0.689376,50,50,2.79998,3.19415,94.0059
1.04,0.798474,1.26495,1.10326,0.696416,0.880928,1,1,2,1,1,0.420672,0.682592,50,50,2.70204,3.00834,94.2896
1.05,0.797854,1.26109,1.10035,0.69616,0.87792,1,1,2,1,1,0.419488,0.680864,50,50,2.85605,3.2547,93.8892
1.06,0.800361,1.2644,1.09958,0.696032,0.880064,1,1,2,1,1,0.419488,0.680096,50,50,2.87206,3.22731,93.9006
1.07,0.798064,1.26283,1.1072,0.699712,0.883616,1,1,2,1,1,0.420672,0.686528,50,50,2.78812,3.82456,93.3873
1.08,0.795045,1.26076,1.10573,0.69728,0.879104,1,1,2,1,1,0.424704,0.681024,50,50,2.71044,3.06765,94.2219
1.09,0.766988,1.25468,1.14342,0.698976,0.876992,1,1,2,1,1,0.418848,0.724576,50,50,2.76124,3.09322,94.1455
